,index_p1,index_p2,sim_ratio
32,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21231pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19286pd410f01=27.doc,0.9885860703470767
33,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21194pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21296pd410f01=27.doc,0.977233676975945
34,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16960pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16567pd410f01=27.doc,0.8024105186267348
35,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17489pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15136pd410f01=27.doc,0.9663245670301476
36,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15343pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20006pd410f01=27.doc,0.927710843373494
37,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20237pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20014pd410f01=27.doc,0.963909294155222
38,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16095pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16093pd410f01=27.doc,0.9571259609698404
39,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17728pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18000pd410f01=27.doc,0.910411622276029
40,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16569pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16960pd410f01=27.doc,0.7534696859021184
41,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21225pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21322pd410f01=27.doc,0.9521424596549806
42,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15249pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19977pd410f01=27.doc,0.934391976598412
43,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15620pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21552pd410f01=27.doc,0.9314374756525127
44,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21542pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15390pd410f01=27.doc,0.9313395113732098
45,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20324pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16559pd410f01=27.doc,0.844392523364486
46,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20262pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15418pd410f01=27.doc,0.9330173775671406
47,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21406pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15694pd410f01=27.doc,0.943010752688172
48,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17705pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17715pd410f01=27.doc,0.9397101449275362
49,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18901pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=18919pd410f01=27.doc,0.9113924050632911
50,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15752pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17365pd410f01=27.doc,0.8710159362549801
51,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17166pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20597pd410f01=27.doc,0.8929351784413693
52,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20023pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21220pd410f01=27.doc,0.9547120418848167
53,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16573pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20481pd410f01=27.doc,0.8871107266435986
54,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15209pd410f01=27.docx,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15865pd410f01=27.doc,0.8336575875486382
55,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16972pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=16948pd410f01=27.doc,0.85447063224841
56,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20608pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20364pd410f01=27.doc,0.9092356687898089
57,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=20611pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=19860pd410f01=27.doc,0.724812030075188
58,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21197pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=21270pd410f01=27.doc,0.929961912822683
59,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=17924pd410f01=27.doc,https://www.cvk.gov.ua/pls/vnd2019/showdocpf7201=15737pd410f01=27.doc,0.7151138716356108
